"","id","fsecurity","fexpend","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability","weight"
"5932",20181000143000,NA,NA,3,3,1,0,0,0,2,2,0,0,5323.842
"5933",20181000147000,0,45,2,1,0,2,0,0,2,0,2,0,3417.2882
"5934",20181000147200,0,40,1,0,0,1,0,0,1,0,0,0,1595.8982
"5935",20181000148400,0,50,2,1,0,2,0,0,0,0,2,1,3270.2938
"5936",20181000149800,NA,NA,3,1,1,0,0,0,1,2,2,0,1758.936
"5937",20181000150500,0,0,1,1,0,1,0,0,1,0,0,1,431.1727
"5938",20181000150600,0,40,2,1,0,0,0,0,0,2,2,0,991.6442
"5939",20181000152600,0,53.3333333333333,6,2,1,0,0,0,1,3,4,1,3414.1512
"5940",20181000154600,0,20,5,3,3,0,0,0,1,1,2,0,2234.3215
"5941",20181000155100,NA,NA,2,1,0,0,0,0,2,0,2,0,867.4094
"5942",20181000155400,0,45,4,2,0,1,0,0,3,1,2,0,1648.5344
"5943",20181000156800,0,137.5,4,3,2,0,0,0,2,1,2,0,1734.8188
"5944",20181000157700,NA,NA,1,0,0,1,0,0,1,0,0,0,447.7649
"5945",20181000157800,0,60,5,4,3,0,0,0,2,2,2,0,2168.5235
"5946",20181000159500,NA,NA,4,3,2,0,0,0,0,2,2,0,2290.8604
"5947",20181000159800,1,130,1,1,0,1,0,1,0,0,0,1,534.4214
"5948",20181000162200,0,115,2,1,0,0,0,0,1,1,0,0,1049.3454
"5949",20181000162400,0,30,1,1,0,1,1,0,0,0,0,0,488.7545
"5950",20181000162700,0,150,2,1,0,0,0,1,0,2,2,0,1330.9798
"5951",20181000163700,8,230,1,0,0,0,0,0,0,1,0,0,616.9953
"5952",20181000165000,0,70,2,1,0,0,0,0,2,2,2,0,1007.2302
"5953",20181000165800,0,74,5,3,3,0,0,0,1,2,2,0,3350.2995
"5954",20181000167700,0,110,1,1,0,0,0,0,0,1,0,1,503.6151
"5955",20181000169100,8,22.5,4,2,2,0,0,0,2,1,0,1,1871.7952
"5956",20181000171000,NA,NA,2,1,0,0,0,0,0,2,0,0,1007.2302
"5957",20181000172500,0,100,5,1,3,1,0,0,0,2,0,1,2307.8185
"5958",20181000174300,0,0,1,1,0,1,0,0,1,0,0,0,431.1727
"5959",20181000175500,3,40,1,0,0,0,0,0,1,1,0,0,616.9953
"5960",20181000176200,0,10,1,1,0,1,0,1,1,0,0,1,554.4461
"5961",20181000177400,0,200,1,1,0,0,0,0,1,1,0,0,446.8643
"5962",20181000180300,NA,NA,2,1,0,0,0,0,0,2,2,1,931.341
"5963",20181000183500,0,120,1,1,0,1,0,0,0,0,0,1,447.8313
"5964",20181000184600,0,80,1,0,0,0,0,0,0,1,0,0,456.574
"5965",20181000186200,0,72.5,4,3,2,0,0,0,2,2,2,0,1787.4572
"5966",20181000186300,1,130,3,2,0,2,0,0,1,0,2,1,1300.2651
"5967",20181000188200,0,15,4,2,2,0,0,0,2,2,2,0,2290.8604
"5968",20181000191000,0,40,3,2,0,2,0,0,3,0,2,1,1447.3464
